Cantidad,Nombre Producto,Related Venta,Related Detalle Schedule,Codigo,Presentacion,Nombre Producto (ref),Related Catalogo Producto,Catalogo Producto - Producto,Precio,Kilagramos,Importes,Catalogo Producto - Peso,Calibre,Detalle Json,producto,Venta - Nombre Cliente,Codigo.,Catalogo Producto - Descripcion,Impuesto,Malla,Related Detalle Venta,Detalle Venta records,Agregar Devoluccion,Devoluccion,Devoluccion Ckeck,Nombre Almacen,Fecha Venta,Venta - Tipo de Cliente,Tipo de Venta,Cantidad Cajas,Cantidad Kilogramos,Cantidad Pallets,Catalogo Producto - Cajas Pallet,Venta - Entregado Bodega,Detalle Salidas Venta records,Add Detalle Salidas Venta,Cantidad Pendiente,Existencia,Facturas/Ventas records,Add Facturas/Ventas,Salidas X Facturas,Devolucion,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
339,PREMIUM AVOCADO CLASE 1 DE 11.30 KG CAL 32'S,5,97,JBRP321,CAJA 11.30 KG,2565,,,,0,$0,,,"{
""id"":""17"",
""CodigoP"":""0"",
""unitPrice"":0,
""idVenta"":5,
""KG"":339,
""Existencia"":0
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",,,,,no,,17,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=17&_fid_15=0&_fid_34=1&dfid=11&z=cq5b2,,no,,03-01-24 06:00 PM,,,,,,,no,17,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=17&z=cq5b2,,0,17,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=17&z=cq5b2,,,04-01-24 12:35 PM,04-01-24 12:35 PM,17,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>
813.6,DEL REY CLASE 1 DE 11.3 KG CAL. 32'S ORGANICO,5,97,DR321O,CAJA 11.30 KG,439,,,,0,$0,,,"{
""id"":""18"",
""CodigoP"":""0"",
""unitPrice"":0,
""idVenta"":5,
""KG"":813.6,
""Existencia"":0
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",,,,,no,,18,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=18&_fid_15=0&_fid_34=1&dfid=11&z=cq5b2,,no,,03-01-24 06:00 PM,,,,,,,no,18,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=18&z=cq5b2,,0,18,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=18&z=cq5b2,,,04-01-24 12:35 PM,04-01-24 12:35 PM,18,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>
904,RYR PRODUCE CLASE 1 DE 11.30 KG CAL 36'S,5,98,,CAJA 11.30 KG,4571,,,,0,$0,,,"{
""id"":""19"",
""CodigoP"":""0"",
""unitPrice"":0,
""idVenta"":5,
""KG"":904,
""Existencia"":0
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",,,,,no,,19,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=19&_fid_15=0&_fid_34=1&dfid=11&z=cq5b2,,no,,03-01-24 06:00 PM,,,,,,,no,19,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=19&z=cq5b2,,0,19,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=19&z=cq5b2,,,04-01-24 12:35 PM,04-01-24 12:35 PM,19,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>
10,,6,,,,,63,60S TRADES JOE´S ORGÁNICO 17 KG 88 CT DEL REY,$23.599,170,$235.99,17,60,"{
""id"":""20"",
""CodigoP"":""63"",
""unitPrice"":23.599,
""idVenta"":6,
""KG"":10,
""Existencia"":170
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,TJ601O17,AGUACATE TRADES JOE'S CLASE 1 DE 17 KG CAL. 60'S/88 ORGÁNICO,0,no,,20,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=20&_fid_15=63&_fid_34=1&dfid=11&z=cq5b2,,no,,,Nacional,,,,,60,no,20,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=20&z=cq5b2,,170,20,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=20&z=cq5b2,,,18-01-24 10:57 AM,18-01-24 11:03 AM,20,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>
10,,6,,,,,6,32S AVOTERRA 11.3 KG INDEX,$29.5,113,$295,11.3,32,"{
""id"":""21"",
""CodigoP"":""6"",
""unitPrice"":29.5,
""idVenta"":6,
""KG"":10,
""Existencia"":113
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,AT321,AGUACATE AVOTERRA CLASE 1 DE 11.3 KG CAL 32'S,0,no,,21,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=21&_fid_15=6&_fid_34=1&dfid=11&z=cq5b2,,no,,,Nacional,,,,,80,no,21,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=21&z=cq5b2,,113,21,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=21&z=cq5b2,,,18-01-24 10:57 AM,18-01-24 11:03 AM,21,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>
10,,6,,,,,79,48S PREMIUM 11.3 KG 12X4 JBR,$10.4,113,$104,11.3,48,"{
""id"":""22"",
""CodigoP"":""79"",
""unitPrice"":10.4,
""idVenta"":6,
""KG"":10,
""Existencia"":113
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022346,AGUACATE PREMIUM CLASE 1 DE 11.3 KG CAL 48'S EN MALLA 12/4,0,no,,22,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=22&_fid_15=79&_fid_34=1&dfid=11&z=cq5b2,,no,,,Nacional,,,,,80,no,22,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=22&z=cq5b2,,113,22,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=22&z=cq5b2,,,18-01-24 10:57 AM,18-01-24 11:03 AM,22,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>
80,,6,,,,,79,48S PREMIUM 11.3 KG 12X4 JBR,$13.5,904,"$1,080",11.3,48,"{
""id"":""23"",
""CodigoP"":""79"",
""unitPrice"":13.5,
""idVenta"":6,
""KG"":80,
""Existencia"":904
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022346,AGUACATE PREMIUM CLASE 1 DE 11.3 KG CAL 48'S EN MALLA 12/4,0,no,,23,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=23&_fid_15=79&_fid_34=1&dfid=11&z=cq5b2,,no,,,Nacional,,,,,80,no,23,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=23&z=cq5b2,,904,23,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=23&z=cq5b2,,,18-01-24 10:57 AM,25-01-24 10:04 AM,23,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>,Ing. Gerardo Jesus Martinez Elias <60906510.dda8>
520,,7,,,,,96,4TA PLASTICO 10 KG,$130,"5,200","$67,600",10,4TA,"{
""id"":""24"",
""CodigoP"":""96"",
""unitPrice"":130,
""idVenta"":7,
""KG"":520,
""Existencia"":5200
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",,AC10,AGUACATE CUARTA PLÁSTICO 10 KG,0,no,,24,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=24&_fid_15=96&_fid_34=1&dfid=11&z=cq5b2,,no,,20-02-24 06:00 PM,,,,,,104,no,24,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=24&z=cq5b2,,5200,24,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=24&z=cq5b2,,,21-02-24 10:01 AM,21-02-24 10:07 AM,24,Rubén Reyes <64889773.dwqb>,Rubén Reyes <64889773.dwqb>
208,,7,,,,,103,EX B PLASTICO 10 KG,$310,"2,080","$64,480",10,EX B,"{
""id"":""25"",
""CodigoP"":""103"",
""unitPrice"":310,
""idVenta"":7,
""KG"":208,
""Existencia"":2080
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",,AEB10,AGUACATE EXTRA B PLÁSTICO 10 KG,0,no,,25,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=25&_fid_15=103&_fid_34=1&dfid=11&z=cq5b2,,no,,20-02-24 06:00 PM,,,,,,104,no,25,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=25&z=cq5b2,,2080,25,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=25&z=cq5b2,,,21-02-24 10:01 AM,21-02-24 10:07 AM,25,Rubén Reyes <64889773.dwqb>,Rubén Reyes <64889773.dwqb>
312,,7,,,,,97,4TA B PLASTICO 10 KG,$130,"3,120","$40,560",10,4TA B,"{
""id"":""26"",
""CodigoP"":""97"",
""unitPrice"":130,
""idVenta"":7,
""KG"":312,
""Existencia"":3120
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",,ACB10,AGUACATE CUARTA B PLÁSTICO 10 KG,0,no,,26,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=26&_fid_15=97&_fid_34=1&dfid=11&z=cq5b2,,no,,20-02-24 06:00 PM,,,,,,104,no,26,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=26&z=cq5b2,,3120,26,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=26&z=cq5b2,,,21-02-24 10:01 AM,21-02-24 10:07 AM,26,Rubén Reyes <64889773.dwqb>,Rubén Reyes <64889773.dwqb>
